,Swedish,in English
0,som,as
1,jag,I
2,hans,his
3,att,that
4,han,he
5,var,was
6,för,for
7,på,on
8,är,are
9,med,with
10,de,they
11,vara,be
12,vid,at
13,ett,one
14,ha,have
15,detta,this
16,från,from
17,genom,by
18,het,hot
19,ord,word
20,men,but
21,vad,what
22,några,some
23,är,is
24,den,it
25,du,you
26,eller,or
27,hade,had
28,den,the
29,av,of
30,till,to
31,och,and
32,en,a
33,i,in
34,vi,we
35,kan,can
36,ut,out
37,var,were
38,vilken,which
39,göra,do
40,deras,their
41,tid,time
42,om,if
43,hur,how
44,sa,said
45,ett,an
46,varje,each
47,berätta,tell
48,gör,does
49,uppsättning,set
50,tre,three
51,vill,want
52,luft,air
53,väl,well
54,också,also
55,spela,play
56,liten,small
57,ände,end
58,hem,home
59,läsa,read
60,sidan,hand
61,port,port
62,stor,large
63,stava,spell
64,lägg,add
65,även,even
66,mark,land
67,här,here
68,must,must
69,stor,big
70,hög,high
71,sådan,such
72,följ,follow
73,handling,act
74,varför,why
75,män,men
76,förändring,change
77,gick,went
78,ljus,light
79,slag,kind
80,off,off
81,behöver,need
82,hus,house
83,bilden,picture
84,oss,us
85,igen,again
86,djur,animal
87,punkt,point
88,världen,world
89,nära,near
90,bygga,build
91,själv,self
92,jord,earth
93,far,father
